ori_word,clean_word,cat_ids
appeared,appeared,"[11, 13, 131, 135, 251, 250]"
appearing,appearing,"[131, 135, 251, 250]"
appears,appears,"[11, 14, 131, 135, 251, 250]"
appendic*,appendic,"[146, 148]"
appendix,appendix,"[146, 147]"
appeti*,appeti,"[146, 150]"
applicant*,applicant,[354]
applicat*,applicat,[354]
appreciat*,appreciat,"[125, 126, 131, 132]"
apprehens*,apprehens,"[125, 127, 128]"
apprentic*,apprentic,[354]
approach*,approach,"[251, 250]"
approv*,approv,[355]
approximat*,approximat,"[131, 135]"
april,april,"[253, 250]"
arbitrar*,arbitrar,"[131, 135]"
arch,arch,"[146, 147]"
are,are,"[11, 1, 12, 14]"
area*,area,"[252, 250]"
arent,arent,"[11, 1, 12, 14, 19]"
aren't,aren't,"[11, 1, 12, 14, 19]"
argh*,argh,"[125, 127, 129]"
argu*,argu,"[121, 125, 127, 129]"
arm,arm,"[146, 147]"
armies,armies,[121]
armpit*,armpit,"[146, 147]"
arms*,arms,"[146, 147]"
army,army,[121]
aroma*,aroma,[140]
around,around,"[1, 16, 17, 131, 138, 252]"
arous*,arous,"[146, 147, 149]"
arrival*,arrival,"[251, 250]"
arrive,arrive,"[11, 14, 251, 250]"
arrived,arrived,"[11, 13, 251, 250]"
arrives,arrives,"[11, 14, 251, 250]"
arriving,arriving,"[251, 250]"
arrogan*,arrogan,"[125, 127, 129]"
arse,arse,"[146, 147, 22]"
arsehole*,arsehole,[22]
arses,arses,"[146, 147, 22]"
art,art,[356]
arter*,arter,"[146, 147]"
arthr*,arthr,"[146, 148]"
artist*,artist,[356]
arts,arts,[356]
as,as,"[1, 17, 18]"
asham*,asham,"[125, 127, 128]"
ask,ask,"[11, 14, 121]"
asked,asked,"[11, 13, 121]"
asking,asking,[121]
asks,asks,"[11, 14, 121]"
asleep,asleep,"[146, 147]"
aspirin*,aspirin,"[146, 148]"
ass,ass,"[146, 147, 149, 22]"
assault*,assault,"[125, 127, 129]"
assembl*,assembl,[121]
asses,asses,"[146, 147, 149, 22]"
asshole*,asshole,"[125, 127, 129, 22]"
assign*,assign,[354]
assistan*,assistan,[354]
associat*,associat,[354]
assum*,assum,"[131, 132, 135]"
assur*,assur,"[125, 126, 131, 136]"
asthma*,asthma,"[146, 148]"
at,at,"[1, 17, 252, 250]"
ate,ate,"[11, 13, 146, 150]"
athletic*,athletic,[356]
atho,atho,"[1, 18]"
atm,atm,[358]
atms,atms,[358]
atop,atop,"[1, 17, 252, 250]"
attachment*,attachment,"[125, 126]"
attack*,attack,"[125, 127, 129]"
attain*,attain,[355]
attempt*,attempt,[355]
attend,attend,"[251, 250]"
attended,attended,"[251, 250]"
attending,attending,"[251, 250]"
attends,attends,"[251, 250]"
attent*,attent,"[131, 132]"
attract*,attract,"[125, 126]"
attribut*,attribut,"[131, 133]"
auction*,auction,[358]
audibl*,audibl,"[140, 142]"
audio*,audio,"[140, 142]"
audit,audit,[358]
audited,audited,[358]
auditing,auditing,[358]
auditor,auditor,[358]
auditorium*,auditorium,[354]
auditors,auditors,[358]
audits,audits,[358]
august,august,"[253, 250]"
aunt*,aunt,"[121, 122]"
authorit*,authorit,[355]
autops*,autops,[360]
autumn,autumn,"[253, 250]"
aversi*,aversi,"[125, 127, 128]"
avert*,avert,"[131, 137]"
avoid*,avoid,"[125, 127, 128, 131, 137]"
aw,aw,[462]
award*,award,"[125, 126, 354, 355]"
aware*,aware,"[131, 132]"
away,away,"[1, 17, 252, 250]"
awesome,awesome,"[125, 126, 462]"
awful,awful,"[125, 127]"
awhile,awhile,"[253, 250]"
awkward*,awkward,"[125, 127, 128]"
babe*,babe,"[121, 124]"
babies,babies,"[121, 124]"
baby*,baby,"[121, 124]"
back,back,"[1, 16, 253, 250]"
backward*,backward,"[252, 250]"
backyard,backyard,[357]
bad,bad,"[125, 127]"
bake*,bake,"[146, 150, 357]"
baking,baking,"[146, 150, 357]"
balcon*,balcon,[357]
bald,bald,"[146, 147]"
ball,ball,[356]
ballet*,ballet,[356]
bambino*,bambino,"[121, 124]"
ban,ban,"[131, 137]"
band,band,"[121, 356]"
bandage*,bandage,"[146, 148]"
bandaid,bandaid,"[146, 148]"
bands,bands,"[121, 356]"
bank*,bank,[358]
banned,banned,"[131, 137]"
banning,banning,"[131, 137]"
bans,bans,"[131, 137]"
baptis*,baptis,[359]
baptiz*,baptiz,[359]
bar,bar,"[146, 150, 356]"
barely,barely,"[131, 135]"
bargain*,bargain,[358]
barrier*,barrier,"[131, 137]"
bars,bars,"[146, 150, 356]"
baseball*,baseball,[356]
based,based,"[131, 133]"
bases,bases,"[131, 133]"
bashful*,bashful,"[125, 127]"
basically,basically,"[1, 16]"
basis,basis,"[131, 133]"
basketball*,basketball,[356]
bastard*,bastard,"[125, 127, 129, 22]"
bath*,bath,"[356, 357]"
battl*,battl,"[125, 127, 129]"
be,be,"[11, 1, 12]"
beach*,beach,[356]
beat,beat,[355]
beaten,beaten,"[125, 127, 129, 354, 355]"
beaut*,beaut,"[125, 126, 140, 141]"
became,became,"[11, 1, 12, 13, 131, 132]"
because,because,"[1, 18, 131, 133]"
become,become,"[11, 1, 12, 14, 131, 132]"
becomes,becomes,"[11, 1, 12, 14, 131, 132]"
becoming,becoming,"[11, 1, 12, 131, 132]"
bed,bed,[357]
bedding,bedding,[357]
bedroom*,bedroom,[357]
beds,beds,[357]
been,been,"[11, 1, 12, 13]"
beer*,beer,"[146, 150, 356]"
before,before,"[1, 17, 253, 250]"
began,began,"[11, 13, 253, 250]"
beggar*,beggar,[358]
begging,begging,[358]
begin,begin,"[11, 14, 253, 250]"
beginn*,beginn,"[253, 250]"
begins,begins,"[11, 14, 253, 250]"
begun,begun,"[253, 250]"
behavio*,behavio,"[250, 251]"
behind,behind,"[1, 17]"
being,being,"[11, 1, 12]"
belief*,belief,"[131, 132, 359]"
believe,believe,"[11, 14, 131, 132]"
believed,believed,"[11, 13, 131, 132]"
believes,believes,"[11, 14, 131, 132]"
believing,believing,"[131, 132]"
bellies,bellies,"[146, 147]"
belly,belly,"[146, 147]"
beloved,beloved,"[125, 126]"
below,below,"[1, 17, 252, 250]"
bend,bend,"[252, 250]"
bending,bending,"[252, 250]"
bends,bends,"[252, 250]"
beneath,beneath,"[1, 17, 252, 250]"
benefic*,benefic,"[125, 126]"
benefit,benefit,"[125, 126]"
benefits,benefits,"[125, 126, 354]"
benefitt*,benefitt,"[125, 126]"
benevolen*,benevolen,"[125, 126]"
benign*,benign,"[125, 126]"
bent,bent,"[252, 250]"
bereave*,bereave,[360]
beside,beside,"[1, 17, 252, 250]"
besides,besides,"[1, 17, 20, 131, 134]"
best,best,"[125, 126, 355, 1, 20]"
bet,bet,"[131, 135, 358]"
bets,bets,"[131, 135, 358]"
better,better,"[125, 126, 355]"
betting,betting,"[131, 135, 358]"
between,between,"[1, 17]"
beyond,beyond,"[1, 16, 17, 252, 250]"
bf*,bf,"[121, 123]"
bi,bi,"[146, 149]"
biannu*,biannu,"[253, 250]"
bible*,bible,[359]
biblic*,biblic,[359]
bicep*,bicep,"[146, 147]"
bicyc*,bicyc,[356]
big,big,"[252, 250]"
bigger,bigger,"[252, 250]"
biggest,biggest,"[252, 250]"
bike*,bike,[356]
bill,bill,[358]
billed,billed,[358]
billing*,billing,[358]
billion*,billion,"[1, 21]"
bills,bills,[358]
bimonth*,bimonth,"[253, 250]"
binding,binding,"[131, 137]"
binge*,binge,"[146, 148, 150]"
binging,binging,"[146, 148, 150]"
biolog*,biolog,[354]
bipolar,bipolar,"[146, 148]"
birdie*,birdie,[356]
birth*,birth,"[253, 250]"
bishop*,bishop,[359]
bit,bit,[20]
bitch*,bitch,"[125, 127, 129, 22]"
bits,bits,[20]
bitter*,bitter,"[125, 127, 129, 140]"
biweek*,biweek,"[253, 250]"
biz,biz,[354]
black,black,"[140, 141]"
blackboard*,blackboard,[354]
blacke*,blacke,"[140, 141]"
blackish*,blackish,"[140, 141]"
blackjack,blackjack,[356]
blacks,blacks,"[140, 141]"
bladder*,bladder,"[146, 147]"
blah,blah,[464]
blam*,blam,"[121, 125, 127, 129]"
blatant*,blatant,"[131, 136]"
bldg*,bldg,[354]
bleed*,bleed,"[146, 148]"
blender*,blender,[357]
bless*,bless,"[125, 126, 359]"
blind*,blind,"[146, 148, 140, 141]"
block,block,"[131, 137]"
blockbuster*,blockbuster,[356]
blocked,blocked,"[131, 137]"
blocker*,blocker,"[131, 137]"
blocking,blocking,"[131, 137]"
blocks,blocks,"[131, 137]"
blog*,blog,[356]
blond*,blond,"[140, 141]"
blood,blood,"[146, 147]"
bloody,bloody,"[146, 147, 22]"
blue*,blue,"[140, 141]"
blur*,blur,"[131, 135]"
bodi*,bodi,"[146, 147]"
body*,body,"[146, 147]"
boil*,boil,"[146, 150]"
bold*,bold,"[125, 126]"
bone,bone,"[146, 147]"
boner*,boner,"[146, 149]"
bones,bones,"[146, 147]"
bonus*,bonus,"[125, 126, 355, 358]"
bony,bony,"[146, 147]"
boob*,boob,"[146, 147, 149, 22]"
book*,book,"[354, 356]"
boom*,boom,"[140, 142]"
booz*,booz,"[146, 150]"
borderline*,borderline,"[131, 135]"
bore*,bore,"[125, 127]"
boring,boring,"[125, 127]"
born,born,"[253, 250]"
borrow*,borrow,[358]
boss*,boss,"[131, 133, 354]"
both,both,"[1, 20, 131, 138, 252, 250]"
bother*,bother,"[125, 127, 129]"
bottom*,bottom,"[252, 250]"
bought,bought,"[11, 13, 358]"
bound*,bound,"[131, 137]"
bowel*,bowel,"[146, 147]"
boy,boy,"[121, 124]"
boyf*,boyf,"[121, 123]"
boy's,boy's,"[121, 124]"
boys*,boys,"[121, 124]"
brain*,brain,"[146, 147]"
brake*,brake,"[131, 137]"
brave*,brave,"[125, 126]"
bread,bread,"[146, 150]"
breadth,breadth,"[252, 250]"
break,break,[250]
breakfast*,breakfast,"[146, 150]"
breast*,breast,"[146, 147, 149]"
breath*,breath,"[146, 147]"
bridle*,bridle,"[131, 137]"
brief*,brief,"[251, 250]"
bright*,bright,"[125, 126, 140, 141]"
brillian*,brillian,"[125, 126]"
bring,bring,"[11, 14, 251, 250]"
bringing,bringing,"[251, 250]"
brings,brings,"[11, 14, 251, 250]"
brink,brink,"[252, 250]"
bro,bro,"[121, 122]"
broad*,broad,"[252, 250]"
broke,broke,"[125, 127, 130]"
broker*,broker,"[354, 358]"
bronchi*,bronchi,"[146, 148]"
broom*,broom,[357]
bros,bros,"[121, 122]"
brother*,brother,"[121, 122]"
brought,brought,"[11, 13, 251, 250]"
brown*,brown,"[140, 141]"
brunch*,brunch,"[146, 150]"
brush*,brush,"[140, 143]"
brutal*,brutal,"[125, 127, 129]"
buck,buck,[358]
bucks,bucks,[358]
bud,bud,"[121, 123]"
buddh*,buddh,[359]
buddies*,buddies,"[121, 123]"
buddy*,buddy,"[121, 123]"
budget*,budget,[358]
building,building,[250]
bulimi*,bulimi,"[146, 148, 150]"
bunch,bunch,"[1, 20]"
burden*,burden,"[125, 127]"
bureau*,bureau,[354]
burial*,burial,[360]
buried,buried,[360]
burnout*,burnout,"[354, 355]"
burp*,burp,"[146, 148]"
bury,bury,[360]
business*,business,"[354, 358]"
busy,busy,"[250, 253, 354]"
but,but,"[1, 18, 131, 139]"
butt,butt,"[146, 147, 149, 22]"
butter*,butter,[140]
butts,butts,"[146, 147, 149, 22]"
butt's,butt's,"[146, 147, 149, 22]"
buy*,buy,[358]
by,by,"[1, 17]"
bye,bye,"[121, 250, 253]"
caf*,caf,"[146, 150]"
calculus,calculus,[354]
call,call,[121]
called,called,"[11, 13, 121]"
caller*,caller,[121]
calling,calling,[121]
calls,calls,[121]
calm*,calm,"[125, 126]"
came,came,"[11, 13, 131, 138, 251, 250]"
camping,camping,[356]
campus*,campus,[354]
can,can,"[11, 1, 12, 14]"
cancer*,cancer,"[146, 148]"
candie*,candie,"[146, 150]"
candle*,candle,"[140, 141]"
candy,candy,"[146, 150]"
cannot,cannot,"[11, 1, 12, 14, 19]"
cant,cant,"[11, 1, 12, 14, 19]"
can't,can't,"[11, 1, 12, 14, 19]"
capab*,capab,[355]
capacit*,capacit,"[252, 250]"
captain,captain,[121]
car,car,"[250, 251]"
caramel*,caramel,[140]
cardia*,cardia,"[146, 148]"
cardio*,cardio,"[146, 148]"
cards,cards,[356]
care,care,"[11, 14, 125, 126]"
cared,cared,"[11, 13, 125, 126]"
career*,career,[354]
carefree,carefree,"[125, 126]"
careful*,careful,"[125, 126, 131, 137]"
careless*,careless,"[125, 127]"
cares,cares,"[11, 14, 125, 126]"
caress*,caress,"[140, 143]"
caring,caring,"[125, 126]"
carpet*,carpet,[357]
carried,carried,"[11, 13, 251, 250]"
carrier*,carrier,"[251, 250]"
carries,carries,"[11, 14, 251, 250]"
carry,carry,"[11, 14, 251, 250]"
carrying,carrying,"[251, 250]"
cash*,cash,[358]
casino*,casino,"[356, 358]"
casket*,casket,[360]
casual,casual,"[125, 126, 356]"
casually,casually,"[125, 126]"
casualt*,casualt,[360]
catch,catch,"[250, 251]"
categor*,categor,"[131, 132]"
catholic*,catholic,[359]
caught,caught,"[11, 13, 250, 251]"
caus*,caus,"[131, 133]"
caut*,caut,"[131, 137]"
cd*,cd,[356]
cease*,cease,"[131, 137, 253, 250]"
ceasing,ceasing,"[131, 137, 253, 250]"
ceiling*,ceiling,"[252, 250]"
celebrat*,celebrat,"[121, 355, 356]"
celebrit*,celebrit,[356]
cell,cell,[121]
cellphon*,cellphon,[121]
cells,cells,[121]
cellular*,cellular,[121]
cemet*,cemet,[360]
cent,cent,[358]
