ori_word,clean_word,cat_ids
coupon*,coupon,[358]
courag*,courag,"[125, 126]"
course*,course,[354]
cousin*,cousin,"[121, 122]"
coverage,coverage,"[250, 252]"
coworker*,coworker,"[121, 354]"
coz,coz,"[131, 133]"
cramp*,cramp,"[146, 148]"
crap,crap,"[125, 127, 129, 146, 147, 22]"
crappy,crappy,"[125, 127, 129, 22]"
craz*,craz,"[125, 127, 128]"
cream,cream,"[140, 141]"
create*,create,"[125, 126, 131, 133, 355]"
creati*,creati,"[125, 126, 131, 133, 355]"
credential*,credential,[354]
credit*,credit,"[125, 126, 354, 358]"
cremat*,cremat,[360]
cried,cried,"[11, 13, 125, 127, 130]"
cries,cries,"[125, 127, 130]"
critical,critical,"[125, 127, 129]"
critici*,critici,"[125, 127, 129]"
cross*,cross,"[251, 250]"
crotch,crotch,"[146, 147]"
crowd*,crowd,[121]
crown*,crown,[355]
crucifi*,crucifi,[359]
crude*,crude,"[125, 127, 129]"
cruel*,cruel,"[125, 127, 129]"
cruis*,cruis,"[251, 250, 356]"
crusade*,crusade,[359]
crushed,crushed,"[125, 127, 130]"
cry,cry,"[125, 127, 130]"
crying,crying,"[125, 127, 130]"
crypt*,crypt,[360]
cubicle*,cubicle,[354]
cuddl*,cuddl,"[146, 149]"
cultur*,cultur,[121]
cunt*,cunt,"[125, 127, 129, 22]"
curb*,curb,"[131, 137]"
curio*,curio,"[131, 132]"
currenc*,currenc,[358]
current*,current,"[253, 250]"
curricul*,curricul,[354]
curtail*,curtail,"[131, 137]"
curtain*,curtain,[357]
customer*,customer,"[354, 358]"
cut,cut,"[125, 127, 129]"
cute*,cute,"[125, 126]"
cutie*,cutie,"[125, 126]"
cuz,cuz,"[1, 18, 131, 133]"
cv*,cv,[354]
cycle*,cycle,"[253, 250]"
cynic,cynic,"[125, 127, 129]"
cyst*,cyst,"[146, 148]"
dad*,dad,"[121, 122]"
dail*,dail,"[253, 250]"
damag*,damag,"[125, 127, 130]"
damn*,damn,"[125, 127, 129, 22]"
danc*,danc,"[251, 250, 356]"
dang,dang,[22]
danger*,danger,"[125, 127, 129]"
daring,daring,"[125, 126]"
darlin*,darlin,"[125, 126]"
darn,darn,[22]
date*,date,"[253, 250]"
dating,dating,[121]
daughter*,daughter,"[121, 122]"
day*,day,"[253, 250]"
daze*,daze,"[125, 127]"
dead,dead,[360]
deadline*,deadline,[354]
deaf*,deaf,"[146, 148, 140, 142]"
deal,deal,[121]
dean*,dean,[354]
dear*,dear,"[125, 126]"
death*,death,[360]
debit*,debit,[358]
debt*,debt,[358]
decade*,decade,"[253, 250]"
decay*,decay,"[125, 127, 253, 250]"
decease*,decease,[360]
december,december,"[253, 250]"
decid*,decid,"[131, 132]"
decis*,decis,"[131, 132]"
decongest*,decongest,"[146, 148]"
decorat*,decorat,[356]
deduc*,deduc,"[131, 132, 133]"
deep*,deep,"[252, 250]"
defeat*,defeat,"[125, 127, 130, 355]"
defect*,defect,"[125, 127]"
defenc*,defenc,"[125, 127, 129, 131, 137]"
defens*,defens,"[125, 127, 129, 131, 137]"
define,define,"[131, 132]"
defined,defined,"[131, 136]"
defines,defines,"[131, 132]"
defining,defining,"[131, 132]"
definite,definite,"[125, 126, 131, 136]"
definitely,definitely,"[1, 16, 125, 126, 131, 136]"
definitive*,definitive,"[131, 136]"
degrad*,degrad,"[125, 127]"
delay*,delay,"[131, 137, 253, 250]"
delectabl*,delectabl,"[140, 125, 126]"
delegat*,delegat,[354]
delicate*,delicate,"[125, 126]"
delicious*,delicious,"[125, 126, 140]"
deligh*,deligh,"[125, 126]"
deliver*,deliver,"[251, 250]"
demise,demise,[360]
demon*,demon,[359]
demote*,demote,[354]
den,den,[357]
denia*,denia,"[131, 137]"
denie*,denie,"[131, 137]"
dense,dense,"[252, 250]"
densit*,densit,"[252, 250]"
dentist*,dentist,"[146, 148]"
deny*,deny,"[131, 137]"
deoder*,deoder,[140]
depart,depart,"[251, 250]"
departed,departed,"[251, 250]"
departing,departing,"[251, 250]"
department*,department,[354]
departs,departs,"[251, 250]"
departure*,departure,"[251, 250]"
depend,depend,"[131, 133, 135]"
depended,depended,"[11, 13, 131, 133, 135]"
depending,depending,"[131, 133, 135]"
depends,depends,"[11, 14, 131, 133, 135]"
deposit*,deposit,[358]
depress*,depress,"[125, 127, 130]"
depriv*,depriv,"[125, 127, 130]"
dept,dept,[354]
depth*,depth,"[252, 250]"
derma*,derma,"[146, 148]"
describe,describe,"[11, 14, 121]"
described,described,"[11, 13, 121]"
describes,describes,"[14, 121]"
describing,describing,[121]
desir*,desir,"[131, 134]"
desk*,desk,[354]
despair*,despair,"[125, 127, 130]"
desperat*,desperat,"[125, 127, 128]"
despis*,despis,"[125, 127, 129]"
despite,despite,"[1, 17]"
dessert*,dessert,"[146, 150]"
destroy*,destroy,"[125, 127, 129]"
destruct*,destruct,"[125, 127, 129]"
determina*,determina,"[125, 126, 131, 132, 355]"
determine,determine,"[131, 132]"
determined,determined,"[125, 126, 131, 132, 355]"
determines,determines,"[131, 132]"
determining,determining,"[131, 132]"
detox*,detox,"[146, 148]"
devastat*,devastat,"[125, 127, 130]"
devil*,devil,"[125, 127, 359]"
devot*,devot,"[125, 126]"
diabet*,diabet,"[146, 148]"
diagnos*,diagnos,"[146, 148]"
diagonal*,diagonal,"[252, 250]"
diaries,diaries,[356]
diarr*,diarr,"[146, 148]"
diary,diary,[356]
dick,dick,"[146, 147, 149, 22]"
dicks,dicks,"[146, 147, 149, 22]"
did,did,"[11, 1, 12, 13]"
didnt,didnt,"[11, 1, 12, 13, 19]"
didn't,didn't,"[11, 1, 12, 13, 19]"
die,die,[360]
died,died,"[11, 13, 360]"
dies,dies,"[11, 14, 360]"
diet*,diet,"[146, 150]"
difference*,difference,"[131, 1, 20]"
differentiat*,differentiat,"[131, 132]"
difficult*,difficult,"[125, 127]"
digest*,digest,"[146, 148, 150]"
digni*,digni,"[125, 126]"
diligen*,diligen,[355]
dime*,dime,[358]
dinar*,dinar,[358]
dine,dine,"[150, 146]"
dined,dined,"[146, 150]"
diner,diner,"[146, 150]"
dinero,dinero,[358]
diners,diners,"[146, 150]"
dines,dines,"[146, 150]"
dining,dining,"[146, 150]"
dinner*,dinner,"[146, 150]"
diplom*,diplom,[354]
directly,directly,"[131, 136]"
director*,director,[354]
disadvantage*,disadvantage,"[125, 127, 130]"
disagree*,disagree,"[125, 127]"
disappear*,disappear,"[251, 250]"
disappoint*,disappoint,"[125, 127, 130]"
disaster*,disaster,"[125, 127]"
discern*,discern,"[131, 132]"
disciplin*,disciplin,"[131, 137]"
disclo*,disclo,"[121, 131, 132]"
discomfort*,discomfort,"[125, 127, 128]"
discount*,discount,[358]
discourag*,discourag,"[125, 127, 130, 131, 137]"
discover*,discover,"[131, 132]"
discuss*,discuss,[121]
disease*,disease,"[146, 148]"
disgust*,disgust,"[125, 127, 129]"
dish,dish,"[146, 150]"
dishearten*,dishearten,"[125, 127, 130]"
dishes,dishes,"[146, 150]"
dishwasher*,dishwasher,[357]
disillusion*,disillusion,"[125, 127, 130]"
dislike,dislike,"[11, 14, 125, 127]"
disliked,disliked,"[11, 13, 125, 127]"
dislikes,dislikes,"[11, 14, 125, 127]"
disliking,disliking,"[125, 127]"
dismay*,dismay,"[125, 127]"
disorient*,disorient,"[131, 135]"
disregard*,disregard,"[131, 137]"
dissatisf*,dissatisf,"[125, 127, 130]"
dissertat*,dissertat,[354]
distan*,distan,"[252, 250]"
distinct*,distinct,"[131, 136]"
distinguish*,distinguish,"[131, 132]"
distract*,distract,"[125, 127, 128]"
distraught,distraught,"[125, 127, 128]"
distress*,distress,"[125, 127, 128]"
distrust*,distrust,"[125, 127, 129]"
disturb*,disturb,"[125, 127, 128]"
dividend*,dividend,"[354, 358]"
divin*,divin,"[125, 126, 359]"
divorc*,divorc,[121]
dizz*,dizz,"[146, 148]"
dj*,dj,[356]
do,do,"[11, 1, 12, 14]"
doa,doa,[360]
doctor*,doctor,"[146, 148, 354]"
does,does,"[11, 1, 12, 14]"
doesnt,doesnt,"[11, 1, 12, 14, 19]"
doesn't,doesn't,"[11, 1, 12, 14, 19]"
doghouse*,doghouse,[357]
doing,doing,"[11, 1, 12]"
dollar*,dollar,[358]
domestic*,domestic,[357]
domina*,domina,"[125, 127, 129, 355]"
domote*,domote,[355]
donat*,donat,[358]
done,done,"[11, 1, 12, 13]"
dont,dont,"[11, 1, 12, 14, 19]"
don't,don't,"[11, 1, 12, 14, 19]"
doom*,doom,"[125, 127, 130, 359]"
door*,door,[357]
dork*,dork,"[125, 127]"
dorm*,dorm,"[354, 357]"
dosage,dosage,"[146, 148]"
dose*,dose,"[146, 148]"
dosing,dosing,"[146, 148]"
dotcom,dotcom,[354]
doubl*,doubl,"[1, 20]"
doubt*,doubt,"[125, 127, 128, 131, 135]"
down,down,"[1, 17, 252, 250]"
downsiz*,downsiz,[354]
downward*,downward,"[252, 250]"
dozen*,dozen,"[1, 21]"
dr,dr,"[146, 148]"
drama,drama,[356]
drank,drank,"[11, 13, 146, 150]"
drape*,drape,[357]
dread*,dread,"[125, 127, 128]"
dream*,dream,[356]
dresser*,dresser,[357]
drie*,drie,"[140, 143]"
drift*,drift,"[251, 250]"
drily,drily,"[140, 143]"
drink*,drink,"[146, 150, 356]"
drive,drive,"[251, 250]"
driven,driven,"[11, 13, 251, 250, 355]"
drives,drives,"[251, 250]"
driveway*,driveway,[357]
driving,driving,"[251, 250]"
drool*,drool,"[140, 146, 147]"
drop,drop,[250]
dropout*,dropout,"[354, 355]"
drove,drove,"[11, 13, 251, 250]"
drown*,drown,[360]
drows*,drows,"[146, 148]"
drs,drs,"[146, 148]"
drug*,drug,"[146, 148]"
drum,drum,[356]
drumm*,drumm,[356]
drums,drums,[356]
drunk*,drunk,"[146, 150, 356]"
dry*,dry,"[140, 143]"
dubious*,dubious,"[131, 135]"
due,due,"[250, 253]"
duh,duh,[462]
dull*,dull,"[125, 127, 130]"
dumb*,dumb,"[125, 127, 129, 22]"
dump*,dump,"[125, 127, 129]"
dunno,dunno,"[131, 135]"
duplex*,duplex,[357]
during,during,"[1, 17, 253, 250]"
duti*,duti,"[131, 137, 354]"
duty,duty,"[131, 137, 354]"
dvd*,dvd,[356]
dwell*,dwell,"[125, 127, 128]"
dx,dx,"[146, 148]"
dying,dying,[360]
dyke*,dyke,"[146, 149, 22]"
dynam*,dynam,"[125, 126]"
each,each,"[1, 20, 131, 138]"
eager*,eager,"[125, 126]"
ear,ear,"[140, 142, 146, 147]"
earli*,earli,"[253, 250]"
early,early,"[253, 250]"
earn*,earn,"[354, 355]"
ears,ears,"[140, 142, 146, 147]"
ease*,ease,"[125, 126]"
easie*,easie,"[125, 126]"
easily,easily,"[125, 126]"
easiness,easiness,"[125, 126]"
easing,easing,"[125, 126]"
east*,east,"[252, 250]"
easy*,easy,"[125, 126, 356]"
eat,eat,"[146, 150]"
eaten,eaten,"[11, 13, 146, 150]"
eating,eating,"[146, 150]"
eats,eats,"[146, 150]"
econ*,econ,"[354, 358]"
ecsta*,ecsta,"[125, 126]"
edge,edge,"[252, 250, 140, 143]"
edges,edges,"[252, 250, 140, 143]"
edging,edging,"[252, 250, 140, 143]"
edit*,edit,[354]
educat*,educat,[354]
effect*,effect,"[131, 132, 133, 355]"
efficien*,efficien,"[125, 126, 355]"
effort*,effort,[355]
egg*,egg,"[146, 150]"
egotis*,egotis,"[125, 127]"
eight*,eight,"[1, 21]"
either,either,"[1, 20, 131, 139]"
elbow*,elbow,"[146, 147]"
elegan*,elegan,"[125, 126]"
elementary,elementary,[354]
eleven,eleven,"[1, 21]"
elicit*,elicit,"[131, 133]"
elit*,elit,[355]
else,else,"[1, 20]"
email,email,[121]
email'*,email',[121]
emailed,emailed,"[11, 13, 121]"
emailer*,emailer,[121]
emailing,emailing,[121]
emails,emails,[121]
embalm*,embalm,[360]
embarrass*,embarrass,"[125, 127, 128]"
embezzl*,embezzl,[358]
emotion,emotion,[125]
emotional,emotional,"[125, 127, 128]"
emotions,emotions,[125]
emphysem*,emphysem,"[146, 148]"
employ*,employ,[354]
empt*,empt,"[125, 127, 130, 252, 250]"
enabl*,enabl,[355]
enclos*,enclos,"[131, 137, 252, 250]"
encompass*,encompass,"[252, 250]"
encourag*,encourag,"[121, 125, 126]"
end,end,"[253, 250]"
endeav*,endeav,[355]
ended,ended,"[11, 13, 253, 250]"
ending,ending,"[253, 250]"
ends,ends,"[253, 250]"
enema*,enema,"[146, 148]"
enemie*,enemie,"[121, 125, 127, 129]"
enemy*,enemy,"[121, 125, 127, 129]"
energ*,energ,"[125, 126]"
engag*,engag,"[125, 126]"
enjoy*,enjoy,"[125, 126]"
enlighten*,enlighten,"[131, 132]"
enorm*,enorm,"[252, 250]"
enough,enough,"[1, 20]"
enrag*,enrag,"[125, 127, 129]"
enter,enter,"[251, 250]"
entered,entered,"[11, 13, 251, 250]"
entering,entering,"[251, 250]"
enters,enters,"[251, 250]"
entertain*,entertain,"[125, 126, 356]"
enthus*,enthus,"[125, 126]"
entire*,entire,"[1, 20, 131, 136]"
entrance*,entrance,"[252, 250]"
envie*,envie,"[125, 127, 129]"
envious,envious,"[125, 127, 129]"
environment*,environment,"[252, 250]"
envy*,envy,"[125, 127, 129]"
epidemic*,epidemic,[360]
episcopal*,episcopal,[359]
equal*,equal,"[1, 20]"
er,er,[463]
era,era,"[253, 250]"
erectile,erectile,"[146, 147, 149]"
erection*,erection,"[146, 147, 149]"
erotic*,erotic,"[146, 149]"
esl,esl,[354]
especially,especially,"[1, 16]"
espresso*,espresso,"[146, 150]"
essential,essential,"[131, 136]"
estrogen*,estrogen,"[146, 148]"
etc,etc,"[1, 20]"
etern*,etern,"[253, 250]"
euro,euro,[358]
euros,euros,[358]
evaluat*,evaluat,"[131, 132]"
evangel*,evangel,[359]
eve,eve,"[253, 250]"
even,even,"[1, 16]"
evening*,evening,"[253, 250]"
event,event,"[250, 253]"
eventually,eventually,"[1, 16, 250, 253]"
ever,ever,"[1, 16, 131, 136, 253, 250]"
every,every,"[1, 20, 131, 136]"
everybod*,everybod,"[1, 2, 9, 121, 131, 136]"
everyday,everyday,"[250, 253]"
everyone*,everyone,"[1, 2, 9, 121]"
everything*,everything,"[1, 2, 9, 121, 131, 136]"
everywhere,everywhere,"[252, 250]"
evident*,evident,"[131, 136]"
evil*,evil,"[125, 127, 129]"
ex,ex,"[121, 122]"
exact*,exact,"[131, 136]"
exam,exam,[354]
examin*,examin,"[131, 132]"
example*,example,"[1, 20]"
exams,exams,[354]
exbf*,exbf,"[121, 123]"
exboyfriend*,exboyfriend,"[121, 123]"
excel*,excel,"[125, 126, 354, 355]"
except,except,"[1, 17, 131, 139]"
exchang*,exchang,[358]
excit*,excit,"[125, 126]"
exclu*,exclu,"[131, 139]"
excruciat*,excruciat,"[125, 127]"
excus*,excus,[121]
execution*,execution,[360]
executive*,executive,[354]
exercis*,exercis,"[146, 148, 356]"
exes,exes,"[121, 122]"
exgf*,exgf,"[121, 123]"
exgirl*,exgirl,"[121, 123]"
exhaust*,exhaust,"[125, 127, 146, 148]"
exhubby*,exhubby,"[121, 122]"
exhusband*,exhusband,"[121, 122]"
exit*,exit,"[252, 250]"
expect*,expect,"[131, 134]"
expel*,expel,[354]
expens*,expens,[358]
experienc*,experienc,[140]
experiment,experiment,"[131, 133]"
explain,explain,"[11, 14, 121, 131, 132]"
explained,explained,"[11, 13, 121, 131, 132]"
explaining,explaining,"[121, 131, 132]"
explains,explains,"[11, 14, 121, 131, 132]"
explanat*,explanat,"[131, 132]"
explicit*,explicit,"[131, 136]"
explor*,explor,"[131, 132, 251, 250]"
express*,express,[121]
expulsion*,expulsion,[354]
extent,extent,"[1, 20]"
exterior*,exterior,"[252, 250]"
exterminat*,exterminat,[360]
extra,extra,"[1, 20]"
extremely,extremely,"[1, 20, 131, 136]"
exwife*,exwife,"[121, 122]"
exwive*,exwive,"[121, 122]"
eye*,eye,"[146, 147, 140, 141]"
eying,eying,"[140, 141]"
fab,fab,"[125, 126]"
fabulous*,fabulous,"[125, 126]"
face,face,"[146, 147]"
faces,faces,"[146, 147]"
facial*,facial,"[146, 147]"
fact,fact,"[131, 136]"
factories,factories,[354]
factory,factory,[354]
facts,facts,"[131, 136]"
factual*,factual,"[131, 136]"
facult*,facult,[354]
fade*,fade,"[253, 250]"
fading*,fading,"[253, 250]"
fail*,fail,"[125, 127, 130, 354, 355]"
faint*,faint,"[146, 148]"
fairly,fairly,"[1, 20, 131, 135]"
faith*,faith,"[125, 126, 359]"
fake,fake,"[125, 127]"
fall,fall,"[251, 250]"
fallen,fallen,"[251, 250]"
falling,falling,"[251, 250]"
falls,falls,"[251, 250]"
families*,families,"[121, 122, 356, 357]"
family,family,"[121, 122, 356, 357]"
fantasi*,fantasi,[356]
fantastic*,fantastic,"[125, 126]"
fantasy,fantasy,[356]
far,far,"[252, 250]"
farsighted,farsighted,"[146, 148]"
farther,farther,"[252, 250]"
farthest,farthest,"[252, 250]"
fast,fast,"[253, 250]"
faster,faster,"[253, 250]"
fastest,fastest,"[253, 250]"
fat,fat,"[146, 147, 148, 150]"
fatal*,fatal,"[125, 127, 360]"
father*,father,"[121, 122]"
fatigu*,fatigu,"[125, 127, 130, 146, 148]"
fats,fats,"[146, 148, 150]"
fatt*,fatt,"[146, 147, 148, 150]"
fault*,fault,"[125, 127]"
favor*,favor,"[125, 126]"
favour*,favour,"[125, 126]"
fax*,fax,[354]
fear,fear,"[125, 127, 128]"
feared,feared,"[125, 127, 128]"
fearful*,fearful,"[125, 127, 128]"
fearing,fearing,"[125, 127, 128]"
fearless*,fearless,"[125, 126]"
fears,fears,"[125, 127, 128]"
february,february,"[253, 250]"
fed,fed,"[11, 13, 146, 150]"
fee,fee,[358]
feed,feed,"[146, 150]"
feedback,feedback,[354]
feeder*,feeder,"[146, 150]"
feeding*,feeding,"[146, 150]"
feeds,feeds,"[146, 150]"
feel,feel,"[11, 14, 131, 132, 140, 143]"
feeling*,feeling,"[131, 132, 140, 143]"
feels,feels,"[11, 14, 131, 132, 140, 143]"
fees,fees,[358]
feet,feet,"[146, 147]"
fell,fell,"[251, 250]"
fellow*,fellow,"[121, 123]"
felt,felt,"[11, 13, 131, 132, 140, 143]"
female*,female,"[121, 124]"
fenc*,fenc,"[131, 137]"
feroc*,feroc,"[125, 127, 129]"
festiv*,festiv,"[125, 126]"
fetid*,fetid,[140]
feud*,feud,"[121, 125, 127, 129]"
fever*,fever,"[146, 148]"
few*,few,"[1, 20]"
fiance*,fiance,"[121, 123]"
fiery,fiery,"[125, 127, 129]"
fiesta*,fiesta,"[125, 126]"
fift*,fift,"[1, 21]"
fight*,fight,"[121, 125, 127, 129]"
figur*,figur,"[131, 132]"
fill*,fill,"[250, 251]"
film*,film,[356]
final,final,"[250, 253]"
finaliz*,finaliz,"[354, 355]"
finally,finally,"[250, 253]"
finals,finals,[354]
financ*,financ,"[354, 358]"
find*,find,"[131, 132]"
fine,fine,"[125, 126]"
finger*,finger,"[146, 147, 140, 143]"
finish*,finish,"[253, 250]"
fire,fire,"[140, 143]"
fired,fired,"[125, 127, 354]"
fireplace*,fireplace,[357]
firing,firing,[354]
first,first,"[1, 21, 253, 250, 355]"
firstly,firstly,"[1, 21, 253, 250]"
firsts,firsts,"[1, 21, 253, 250, 355]"
fishing,fishing,[356]
fit,fit,"[250, 252]"
fitness,fitness,[356]
five,five,"[1, 21]"
fizz*,fizz,"[140, 142]"
flatscreen*,flatscreen,[356]
flatter*,flatter,"[121, 125, 126]"
flavor*,flavor,[140]
flavour*,flavour,[140]
flawless*,flawless,"[125, 126]"
fled,fled,"[11, 13, 251, 250]"
flee*,flee,"[251, 250]"
flesh*,flesh,"[146, 147]"
flew,flew,"[11, 13, 251, 250]"
flexib*,flexib,"[125, 126, 140, 143]"
flies,flies,"[251, 250]"
flirt*,flirt,"[125, 126]"
floor*,floor,"[252, 250]"
flow*,flow,"[251, 250]"
flu,flu,"[146, 148]"
flunk*,flunk,"[125, 127, 130]"
fly,fly,"[251, 250]"
flying,flying,"[251, 250]"
foe*,foe,"[125, 127, 129]"
folks,folks,"[121, 122]"
follow,follow,"[11, 14, 251, 250]"
followed,followed,"[11, 13, 251, 250]"
following,following,"[251, 250]"
follows,follows,"[11, 14, 251, 250]"
followup*,followup,"[253, 250]"
fond,fond,"[125, 126]"
fondly,fondly,"[125, 126]"
fondness,fondness,"[125, 126]"
food*,food,"[146, 150]"
fool*,fool,"[125, 127]"
foot,foot,"[146, 147]"
football*,football,[356]
for,for,"[1, 17]"
forbid*,forbid,"[125, 127, 131, 137]"
force*,force,"[131, 133]"
forearm*,forearm,"[146, 147]"
forehead*,forehead,"[146, 147]"
foreplay,foreplay,"[146, 149]"
forever,forever,"[131, 136, 253, 250]"
forgave,forgave,"[121, 125, 126, 131, 132]"
forget*,forget,"[131, 137]"
forgiv*,forgiv,"[121, 125, 126, 131, 132]"
forgot*,forgot,"[131, 137, 11, 13]"
form,form,"[1, 20]"
former*,former,"[253, 250]"
fortune*,fortune,[358]
forward*,forward,"[251, 250, 252, 253]"
fought,fought,"[11, 13, 121, 125, 127, 129]"
found,found,"[11, 13, 131, 132]"
foundation*,foundation,"[131, 133]"
founded,founded,"[131, 133, 355]"
founder*,founder,"[131, 133, 355]"
founding,founding,[355]
four*,four,"[1, 21]"
fragil*,fragil,"[140, 143]"
fragran*,fragran,[140]
franc,franc,[358]
franchis*,franchis,"[354, 358]"
francs,francs,[358]
frankly,frankly,"[131, 136]"
frantic*,frantic,"[125, 127, 128]"
frat,frat,[354]
fratern*,fratern,[354]
freak*,freak,"[125, 127]"
free,free,"[125, 126, 358]"
freeb*,freeb,"[125, 126, 358]"
freed*,freed,"[125, 126]"
freeing,freeing,"[125, 126]"
freely,freely,"[125, 126]"
freeness,freeness,"[125, 126]"
freer,freer,"[125, 126]"
frees*,frees,"[125, 126]"
freez*,freez,"[140, 143]"
frequent,frequent,"[253, 250]"
frequented,frequented,"[253, 250]"
frequenting,frequenting,"[253, 250]"
frequently,frequently,"[1, 16, 253, 250]"
frequents,frequents,"[253, 250]"
freshm*,freshm,[354]
friday*,friday,"[253, 250]"
fridge*,fridge,[357]
friend*,friend,"[121, 123, 125, 126]"
fries,fries,"[146, 150]"
fright*,fright,"[125, 127, 128]"
frisbee*,frisbee,[356]
from,from,"[1, 17]"
front,front,"[250, 251]"
froze*,froze,"[140, 143]"
fruit*,fruit,"[146, 150, 140]"
frustrat*,frustrat,"[125, 127, 129]"
fry*,fry,"[146, 150]"
fuck,fuck,"[11, 14, 125, 127, 129, 146]"
fucked*,fucked,"[11, 13, 125, 127, 129, 146]"
fucker*,fucker,"[125, 127, 129, 146, 149, 22]"
fuckin*,fuckin,"[125, 127, 129, 146, 149, 22]"
fucks,fucks,"[11, 14, 125, 127, 129, 146]"
fulfill*,fulfill,[355]
full*,full,"[1, 20, 252, 250]"
fume*,fume,"[125, 127, 129]"
fuming,fuming,"[125, 127, 129]"
fun,fun,"[125, 126]"
fund,fund,[358]
fundamental,fundamental,"[131, 136]"
fundamentalis*,fundamentalis,"[131, 136, 359]"
fundamentally,fundamentally,"[131, 136]"
fundamentals,fundamentals,"[131, 136]"
funded,funded,[358]
funding,funding,[358]
funds,funds,[358]
funer*,funer,[360]
funn*,funn,"[125, 126]"
furious*,furious,"[125, 127, 129]"
furniture,furniture,[357]
further*,further,"[252, 250]"
fury,fury,"[125, 127, 129]"
futon*,futon,[357]
futur*,futur,"[253, 250]"
fuzz*,fuzz,"[131, 135, 140, 143]"
gain*,gain,[355]
gambl*,gambl,[358]
game*,game,"[121, 356]"
gaming,gaming,[356]
garage*,garage,"[356, 357]"
garden*,garden,"[356, 357]"
gate*,gate,[357]
gather*,gather,[121]
gave,gave,"[11, 13, 121]"
gay,gay,"[146, 149]"
gays,gays,"[146, 149]"
gaz*,gaz,"[140, 141]"
geek*,geek,"[125, 127]"
general,general,[131]
generally,generally,"[1, 16, 131, 135]"
generate*,generate,"[131, 133]"
generating,generating,"[131, 133]"
generation*,generation,"[253, 250]"
generator*,generator,"[131, 133]"
genero*,genero,"[125, 126]"
genital*,genital,"[146, 147, 149]"
genocid*,genocid,[360]
gentile*,gentile,[359]
gentle,gentle,"[125, 126]"
gentlem*,gentlem,"[121, 124]"
gentler,gentler,"[125, 126]"
gentlest,gentlest,"[125, 126]"
gently,gently,"[125, 126]"
get,get,"[11, 14]"
gets,gets,"[11, 14]"
gf*,gf,"[121, 123]"
ghost*,ghost,[360]
giant*,giant,"[252, 250]"
gigantic,gigantic,"[252, 250]"
giggl*,giggl,"[125, 126]"
ginormous,ginormous,"[252, 250]"
girl,girl,"[121, 124]"
girlfriend*,girlfriend,"[121, 123]"
girl's,girl's,"[121, 124]"
girls*,girls,"[121, 124]"
give,give,"[11, 14, 121]"
given,given,"[11, 13]"
giver*,giver,"[121, 125, 126]"
gives,gives,"[11, 14, 121]"
giving,giving,"[121, 125, 126]"
glad,glad,"[125, 126]"
gladly,gladly,"[125, 126]"
glamor*,glamor,"[125, 126]"
glamour*,glamour,"[125, 126]"
glanc*,glanc,"[140, 141]"
gland*,gland,"[146, 148]"
glaucoma,glaucoma,"[146, 148]"
global*,global,"[252, 250]"
gloom*,gloom,"[125, 127, 130]"
glori*,glori,"[125, 126]"
glory,glory,"[125, 126]"
glow*,glow,"[140, 141]"
glutton*,glutton,"[146, 150]"
gmat,gmat,[354]
go,go,"[11, 14, 251, 250]"
goal*,goal,"[354, 355]"
gobble*,gobble,"[146, 150]"
gobbling,gobbling,"[146, 150]"
god,god,[359]
god'*,god',[359]
goddam*,goddam,"[125, 127, 129, 22]"
goes,goes,"[11, 14, 251, 250]"
going,going,"[251, 250]"
golf*,golf,[356]
gone,gone,"[11, 13, 251, 250]"
gonna,gonna,"[11, 15]"
gonorrhea,gonorrhea,"[146, 149]"
good,good,"[125, 126]"
goodness,goodness,"[125, 126]"
goosebump*,goosebump,"[146, 147]"
gorgeous*,gorgeous,"[125, 126]"
gospel*,gospel,[359]
gossip*,gossip,"[121, 125, 127]"
got,got,"[11, 13]"
gotta,gotta,"[11, 15]"
gotten,gotten,"[11, 13]"
gov,gov,[354]
govern*,govern,[354]
gpa,gpa,[354]
grab*,grab,"[140, 143]"
grace,grace,"[125, 126]"
graced,graced,"[125, 126]"
graceful*,graceful,"[125, 126]"
graces,graces,"[125, 126]"
graci*,graci,"[125, 126]"
grad,grad,[354]
grade*,grade,[354]
grading,grading,[354]
graduat*,graduat,[354]
grand,grand,"[125, 126]"
grandchil*,grandchil,"[121, 122]"
granddad*,granddad,"[121, 122]"
granddau*,granddau,"[121, 122]"
grande*,grande,"[125, 126]"
grandf*,grandf,"[121, 122]"
grandkid*,grandkid,"[121, 122]"
grandm*,grandm,"[121, 122]"
grandpa*,grandpa,"[121, 122]"
grandson*,grandson,"[121, 122]"
granny,granny,"[121, 122]"
grasp*,grasp,"[131, 132]"
gratef*,gratef,"[125, 126]"
grati*,grati,"[125, 126]"
grave*,grave,"[125, 127, 130, 360]"
gray*,gray,"[140, 141]"
gre,gre,[354]
greas*,greas,[140]
great,great,"[125, 126]"
greater,greater,"[1, 20]"
greatest,greatest,"[1, 20]"
greed*,greed,"[125, 127, 129, 358]"
green*,green,"[140, 141]"
grew,grew,"[250, 251]"
grey*,grey,"[140, 141]"
grief,grief,"[125, 127, 130, 360]"
griev*,griev,"[125, 127, 130, 360]"
grim*,grim,"[125, 127, 130]"
grin,grin,"[125, 126]"
grinn*,grinn,"[125, 126]"
grins,grins,"[125, 126]"
grip,grip,"[140, 143]"
gripp*,gripp,"[140, 143]"
grips,grips,"[140, 143]"
grocer*,grocer,"[146, 150]"
gross*,gross,"[125, 127]"
